amount,default,duration,foreign,gender,job,owner,single
0.584,0,67,1,0,2,1,1
2.975,1,22,1,1,2,1,0
1.048,0,49,1,0,2,1,1
3.941,0,45,1,0,2,0,1
2.435,1,53,1,0,2,0,1
4.527,0,35,1,0,2,0,1
1.417,0,53,1,0,2,1,1
3.474,0,35,1,0,3,0,1
1.529,0,61,1,0,2,1,0
2.617,1,28,1,0,3,1,0
0.647,1,25,1,1,2,0,0
2.154,1,24,1,1,2,0,0
0.783,0,22,1,1,2,1,0
0.599,1,60,1,0,2,1,1
0.701,0,28,1,1,2,0,0
0.641,1,32,1,1,2,1,0
1.212,0,53,1,0,2,1,1
4.036,0,25,1,0,2,1,1
6.289,1,44,1,1,3,0,0
1.715,0,31,1,0,2,1,1
1.067,0,48,1,0,2,1,1
1.323,0,44,1,0,2,0,1
1.120,0,48,0,0,2,0,1
0.902,0,44,1,0,2,1,1
1.034,0,26,0,0,2,1,0
0.687,0,36,1,0,2,1,1
0.213,0,39,1,0,2,1,0
0.204,0,42,1,1,2,0,0
1.207,0,34,1,0,2,1,1
3.418,1,63,1,0,2,1,1
0.956,0,36,1,0,2,1,0
2.010,0,27,1,0,2,1,1
2.933,0,30,1,0,2,1,1
0.632,0,57,1,0,2,0,1
0.737,0,33,1,1,3,1,0
2.373,1,25,1,0,2,1,1
3.055,0,31,1,0,2,0,1
1.050,1,37,1,0,2,1,1
0.612,0,37,1,0,2,1,1
0.229,0,24,1,0,2,1,1
1.166,0,30,1,0,3,1,1
0.579,0,26,1,0,2,1,0
3.102,0,44,1,0,2,1,1
3.093,0,24,1,0,2,0,0
3.071,1,58,1,1,2,0,0
0.696,0,35,1,1,3,1,0
1.149,0,39,1,0,2,1,1
0.676,0,23,1,1,1,0,0
3.614,0,39,1,0,2,1,1
1.036,0,28,1,1,2,1,0
1.166,0,29,1,0,2,1,1
2.982,0,30,1,0,3,1,1
0.631,0,25,1,0,2,1,1
1.689,0,31,1,0,2,1,1
1.112,1,57,1,0,2,0,1
0.391,0,26,1,0,2,1,1
3.234,1,52,1,0,3,1,1
4.783,0,31,1,1,2,1,0
0.980,0,23,1,1,3,1,0
3.114,1,23,1,1,2,0,0
0.695,0,27,1,0,2,1,0
0.768,0,50,1,0,2,1,1
0.976,1,61,1,0,3,0,1
7.210,1,25,1,0,2,1,1
1.590,0,26,1,1,2,1,0
2.595,0,48,1,0,2,1,1
1.085,0,29,1,1,2,1,0
0.503,0,22,1,0,2,1,0
0.909,1,37,1,0,2,0,1
1.197,0,25,1,1,2,1,0
4.066,0,30,1,1,2,1,0
0.365,0,46,1,0,2,0,1
0.582,0,51,1,0,3,0,1
2.977,0,41,1,1,2,1,0
0.988,1,40,1,0,3,1,1
0.763,0,66,1,0,3,0,1
1.982,1,34,1,0,2,1,1
2.385,0,51,1,0,2,1,1
4.718,0,39,1,0,2,1,1
1.916,0,22,1,0,2,1,0
2.971,1,44,1,1,2,1,0
0.606,0,47,1,0,2,1,1
0.784,0,24,1,1,2,0,0
0.877,0,58,1,1,2,1,0
1.157,0,52,1,0,2,1,1
0.706,0,29,1,1,3,1,0
0.647,0,27,1,1,2,1,0
6.306,1,47,1,0,2,0,1
1.124,0,30,1,0,3,1,1
0.554,1,28,1,0,2,1,1
0.309,0,56,1,0,2,1,1
0.704,0,54,1,0,2,1,1
0.398,1,33,1,1,2,1,0
1.808,0,20,1,0,2,0,1
0.659,0,54,1,0,2,1,1
7.972,1,58,1,0,2,0,1
1.006,0,61,1,1,2,1,0
1.311,0,34,1,0,2,1,1
1.168,0,36,1,0,2,1,1
3.528,0,36,1,0,3,0,1
0.734,0,41,1,0,2,0,0
1.161,0,24,1,0,2,0,1
0.466,0,24,1,1,2,1,0
0.959,0,35,1,0,2,0,1
1.222,0,26,1,0,2,0,0
5.969,1,39,1,0,3,1,1
3.229,1,39,1,0,3,1,1
3.039,0,32,1,0,2,1,1
3.860,0,30,0,1,2,1,0
0.705,0,35,1,0,2,1,0
0.724,0,31,1,0,2,1,0
0.196,0,23,1,1,2,0,0
3.130,0,28,1,0,2,0,1
3.927,1,25,1,1,2,1,0
0.840,0,35,1,0,2,1,0
1.789,0,47,1,0,2,1,1
3.587,1,30,1,1,3,1,0
1.066,0,27,0,1,2,0,0
2.140,1,23,1,1,2,1,0
1.183,0,36,1,0,3,1,0
0.917,1,25,1,1,2,1,0
1.934,0,41,1,1,3,0,0
0.884,0,24,1,0,2,0,1
0.390,0,63,1,0,2,0,1
0.962,1,27,1,1,2,0,0
1.060,0,30,1,0,2,1,1
0.350,0,40,1,0,2,1,0
0.319,1,30,1,0,2,1,1
0.930,0,34,1,0,3,1,1
1.749,1,29,1,1,2,1,0
4.243,0,24,1,1,2,1,0
3.443,1,29,1,0,2,1,1
1.354,0,27,1,0,2,1,1
0.992,0,47,1,0,2,0,1
5.072,0,21,1,1,2,1,0
0.620,0,38,1,1,2,1,0
4.306,0,27,1,0,2,1,1
0.383,1,66,1,0,2,1,1
1.364,0,35,1,0,2,1,1
0.940,0,44,1,1,2,0,0
0.354,0,27,0,0,1,1,0
2.397,0,30,1,1,3,1,0
1.708,0,27,1,0,3,1,1
1.231,1,22,1,0,2,1,1
1.144,0,23,1,1,2,1,0
1.783,0,30,1,0,2,1,1
0.430,0,39,1,1,2,1,0
0.341,0,51,1,1,2,1,0
2.685,0,28,1,0,2,1,1
0.791,0,46,1,0,2,1,1
0.673,0,42,1,0,2,0,1
0.962,0,38,0,0,2,1,1
2.924,0,24,1,0,2,1,1
3.879,0,29,1,1,2,0,0
3.483,0,36,1,0,3,0,1
0.641,1,20,1,1,2,0,0
0.644,0,48,0,0,2,1,1
0.169,0,45,1,0,2,1,0
1.756,0,38,1,0,2,1,1
0.949,0,34,1,0,2,1,1
1.436,0,36,1,0,2,1,1
0.527,0,30,1,1,2,1,0
0.631,0,36,1,0,2,1,1
3.654,0,70,1,0,3,0,1
0.454,0,36,1,0,2,1,1
1.489,0,32,1,0,2,1,1
0.565,1,33,1,1,2,1,0
0.788,0,20,1,1,2,1,0
1.986,0,25,1,1,2,0,0
